run,category,tag,step,wall_time_utc,value
phase1_songs01,training_aggregate,train/avg_accuracy,1000,2026-09-08T08:38:55.470727Z,0.004184620921
phase1_songs01,training_aggregate,train/avg_accuracy,2000,2026-09-08T08:39:51.101530Z,0.01193545852
phase1_songs01,training_aggregate,train/avg_accuracy,3000,2026-09-08T08:40:49.085302Z,0.01901519857
phase1_songs01,training_aggregate,train/avg_accuracy,4000,2026-09-08T08:41:45.113242Z,0.02565082721
phase1_songs01,training_aggregate,train/avg_accuracy,5000,2026-09-08T08:42:41.193282Z,0.03339107707
phase1_songs01,training_aggregate,train/avg_accuracy,6000,2026-09-08T08:43:38.582631Z,0.03894362226
phase1_songs01,training_aggregate,train/avg_accuracy,7000,2026-09-08T08:44:37.614048Z,0.04500578716
phase1_songs01,training_aggregate,train/avg_accuracy,8000,2026-09-08T08:45:41.177499Z,0.0511046648
phase1_songs01,training_aggregate,train/avg_accuracy,9000,2026-09-08T08:46:42.969901Z,0.06001429632
phase1_songs01,training_aggregate,train/avg_accuracy,10000,2026-09-08T08:47:47.563148Z,0.0676638931
phase1_songs01,training_aggregate,train/avg_accuracy,11000,2026-09-08T08:49:05.097429Z,0.07604052871
phase1_songs01,training_aggregate,train/avg_accuracy,12000,2026-09-08T08:50:10.852092Z,0.08409906924
phase1_songs01,training_aggregate,train/avg_accuracy,13000,2026-09-08T08:51:15.351298Z,0.09275824577
phase1_songs01,training_aggregate,train/avg_accuracy,14000,2026-09-08T08:52:14.983887Z,0.1004846916
phase1_songs01,training_aggregate,train/avg_accuracy,15000,2026-09-08T08:53:15.025158Z,0.1092867106
phase1_songs01,training_aggregate,train/avg_accuracy,16000,2026-09-08T08:54:19.273105Z,0.1184754744
phase1_songs01,training_aggregate,train/avg_accuracy,17000,2026-09-08T08:55:24.279180Z,0.1297140867
phase1_songs01,training_aggregate,train/avg_accuracy,18000,2026-09-08T08:56:25.795220Z,0.1394436061
phase1_songs01,training_aggregate,train/avg_accuracy,19000,2026-09-08T08:57:26.394002Z,0.1505811512
phase1_songs01,training_aggregate,train/avg_accuracy,20000,2026-09-08T08:58:26.310837Z,0.1600584239
phase1_songs01,training_aggregate,train/avg_accuracy,21000,2026-09-08T08:59:43.545856Z,0.1703656018
phase1_songs01,training_aggregate,train/avg_accuracy,22000,2026-09-08T09:00:46.012927Z,0.1826806515
phase1_songs01,training_aggregate,train/avg_accuracy,23000,2026-09-08T09:01:48.706044Z,0.194856599
phase1_songs01,training_aggregate,train/avg_accuracy,24000,2026-09-08T09:02:51.022778Z,0.2053141892
phase1_songs01,training_aggregate,train/avg_accuracy,25000,2026-09-08T09:03:52.606131Z,0.217248708
phase1_songs01,training_aggregate,train/avg_accuracy,26000,2026-09-08T09:04:56.059300Z,0.2277579159
phase1_songs01,training_aggregate,train/avg_accuracy,27000,2026-09-08T09:05:57.874917Z,0.2389360517
